Latitude,Longitude,State,District,Stunting,Wasting,Underweight
26.1311375,87.445534,BR,Muzaffarpur,47.9,17.5,42.3
25.5111515,86.476908,BR,Nalanda,54.1,24.3,50.2
25.856,84.8568,BR,Nawada,48.4,21.4,45.9
26.111868,85.896004,BR,Pashchim Champaran,43.6,21.7,39.1
26.4627955,86.1751759,BR,Patna,43.5,28.5,43.3
26.5952476,85.4808393,BR,Purba Champaran,47.2,18,40.8
25.9286903,86.7909759,BR,Purnia,52.1,20.8,47
25.7771391,87.4752551,BR,Rohtas,48.5,19.9,45.1
25.2139287,84.9895549,BR,Saharsa,43.9,24,44.4
26.1208876,85.3647201,BR,Samastipur,49.2,18.4,41.3
26.6098139,84.8567932,BR,Saran,46.1,18.1,40.4
25.2621826,85.4788065,BR,Sheikhpura,46.4,28.9,51.7
25.3748,86.4735,BR,Sheohar,53,14.8,42.8
25.8629679,85.7810263,BR,Sitamarhi,57.3,15.8,47.7
26.5145872,85.2942313,BR,Siwan,37.9,15,31.6
25.552048,87.5718609,BR,Supaul,48.1,20.9,43.4
27.1543104,84.3542049,BR,Vaishali,53.7,15.1,41.3
22.3594501,82.7500595,CT,Bastar,41.6,33.9,50.6
21.1904494,81.2849169,CT,Bijapur,48.2,26,47.2
21.2513844,81.6296413,CT,Bilaspur,34.1,26.8,33.3
23.3875,82.3886,CT,Dakshin Bastar Dantewada,44.2,32.3,51.6
19.723535,81.2424108,CT,Dhamtari,34.2,27,40.2
21.0971034,81.0302222,CT,Durg,34.3,21.2,36.3
16.8301708,75.710031,CT,Janjgir Champa,36.8,21.7,34.7
20.7014999,81.5541579,CT,Jashpur,35.1,18.6,35.2
22.0796251,82.1391412,CT,Kabirdham,40.4,17.6,38.4
19.1071317,81.9534815,CT,Korba,33.2,25.7,36.6
18.8456296,81.3839326,CT,Korea,30.6,29,34.5
22.0116665,82.5752601,CT,Mahasamund,43.7,19.8,38.1
20.347864,81.334441,CT,Narayanpur,49,30.5,49.2
21.1705408,82.605118,CT,Raigarh,39.2,19.4,37.1
22.0089506,81.2243444,CT,Raipur,38.3,19.5,37.4
21.8974003,83.3949632,CT,Rajnandgaon,48.8,17.2,36.6
22.9494079,83.1649001,CT,Surguja,32.3,22.3,34.7
22.7874503,83.8473015,CT,Uttar Bastar Kanker,36.3,30.9,49.9
20.7144094,70.9873719,DD,Daman,18.9,26.4,25.2
20.3974,72.8328,DD,Diu,37.3,17.1,31.1
28.7184,77.258,DL,Central,36.6,22.9,34.7
28.5929,77.0346,DL,East,22.5,23.7,20.6
28.6663,77.068,DL,New Delhi,28.5,20.3,32
28.7886,77.1412,DL,North East,27.9,12.7,23.1
28.6139,77.209,DL,North West,38.6,17.8,32.5
28.628,77.2956,DL,North,28.5,13.5,27.9
28.7186,77.0685,DL,South West,32.7,12.6,21.1
28.4817,77.1873,DL,South,31.3,21.2,28.7
